,o_basic,h_basic,o_neighbor,h_neighbor,aim_o,aim_h
1,37.0,1.0,0,2.0,18.0,5.0
2,7.0,0,30.0,102.0,13.0,2.0
3,35.0,1.0,17.0,102.0,36.0,0
4,8.0,2.0,165.0,363.0,15.0,0
5,26.0,0,1.0,52.0,59.0,0
6,5.0,0,9.0,124.0,5.0,5.0
7,67.0,44.0,338.0,900.0,61.0,51.0
8,38.0,3.0,29.0,75.0,32.0,1.0
9,14.0,5.0,1.0,51.0,17.0,0
10,71.0,4.0,79.0,244.0,86.0,7.0
11,5.0,0,7.0,574.0,18.0,0
12,67.0,12.0,75.0,427.0,59.0,9.0
13,4.0,1.0,9.0,94.0,21.0,5.0
14,98.0,0,3.0,387.0,114.0,0
15,18.0,3.0,6.0,73.0,15.0,1.0
16,22.0,0,1.0,34.0,50.0,1.0
17,39.0,11.0,259.0,717.0,43.0,11.0
18,45.0,0,6.0,217.0,80.0,1.0
19,3.0,1.0,9.0,162.0,19.0,0
20,191.0,98.0,204.0,359.0,222.0,139.0
21,12.0,1.0,427.0,1289.0,3.0,2.0
22,5.0,0,90.0,715.0,2.0,0
23,89.0,12.0,372.0,1418.0,123.0,30.0
24,4.0,0,115.0,334.0,8.0,0
25,64.0,0,5.0,896.0,37.0,0
26,6.0,0,247.0,434.0,2.0,1.0
27,3.0,0,235.0,539.0,21.0,1.0
28,376.0,157.0,299.0,877.0,379.0,246.0
29,123.0,55.0,484.0,1609.0,131.0,54.0
30,17.0,0,90.0,937.0,4.0,0
31,27.0,0,4.0,93.0,14.0,0
32,58.0,10.0,78.0,481.0,73.0,25.0
33,106.0,84.0,111.0,603.0,95.0,65.0
34,131.0,0,12.0,545.0,142.0,8.0
35,15.0,3.0,81.0,73.0,45.0,7.0
36,2.0,0,297.0,526.0,5.0,0
37,12.0,0,6.0,497.0,16.0,0
38,7.0,0,30.0,191.0,16.0,1.0
39,16.0,1.0,13.0,57.0,9.0,8.0
40,45.0,0,1.0,3.0,37.0,0
41,96.0,60.0,281.0,681.0,67.0,65.0
42,154.0,130.0,189.0,433.0,156.0,181.0
43,50.0,1.0,11.0,105.0,65.0,8.0
44,3.0,2.0,88.0,76.0,18.0,17.0
45,25.0,4.0,78.0,56.0,14.0,3.0
46,32.0,6.0,279.0,853.0,41.0,10.0
47,11.0,2.0,343.0,748.0,8.0,2.0
48,9.0,0,24.0,77.0,4.0,2.0
49,30.0,0,0,539.0,105.0,0
50,119.0,73.0,339.0,783.0,104.0,65.0
51,32.0,6.0,343.0,886.0,51.0,15.0
52,11.0,0,10.0,87.0,16.0,0
53,5.0,1.0,99.0,596.0,12.0,0
54,2.0,0,69.0,70.0,16.0,0
55,18.0,1.0,2.0,25.0,91.0,1.0
56,2.0,0,51.0,96.0,13.0,0
57,144.0,3.0,88.0,754.0,114.0,18.0
58,6.0,0,35.0,192.0,5.0,0
59,14.0,7.0,188.0,285.0,10.0,7.0
60,2.0,0,21.0,51.0,4.0,0
61,3.0,0,1.0,34.0,4.0,0
62,7.0,0,109.0,300.0,5.0,5.0
63,30.0,0,386.0,1566.0,63.0,3.0
64,93.0,0,237.0,800.0,66.0,0
65,42.0,0,6.0,215.0,53.0,0
66,29.0,1.0,11.0,109.0,27.0,4.0
67,14.0,1.0,301.0,555.0,6.0,1.0
68,28.0,5.0,8.0,74.0,26.0,5.0
69,25.0,1.0,303.0,479.0,19.0,6.0
70,212.0,76.0,409.0,1251.0,297.0,183.0
71,226.0,3.0,9.0,450.0,180.0,0
72,8.0,1.0,311.0,1243.0,15.0,3.0
73,16.0,0,13.0,119.0,27.0,2.0
74,53.0,25.0,36.0,309.0,68.0,18.0
75,122.0,3.0,3.0,544.0,131.0,0
76,216.0,0,0,417.0,142.0,0
77,158.0,29.0,203.0,693.0,101.0,20.0
78,32.0,1.0,9.0,493.0,86.0,0
79,2.0,7.0,6.0,24.0,15.0,12.0
80,202.0,28.0,193.0,709.0,228.0,100.0
81,188.0,25.0,390.0,1121.0,219.0,65.0
82,0,1.0,216.0,249.0,3.0,0
83,2.0,4.0,16.0,74.0,9.0,1.0
84,201.0,0,6.0,406.0,291.0,5.0
85,207.0,25.0,183.0,626.0,194.0,41.0
86,137.0,2.0,3.0,399.0,109.0,0
87,17.0,1.0,19.0,101.0,31.0,1.0
88,323.0,0,0,310.0,337.0,0
89,153.0,6.0,7.0,625.0,144.0,2.0
90,9.0,16.0,74.0,81.0,28.0,15.0
91,1.0,7.0,381.0,998.0,0,8.0
92,0,20.0,63.0,69.0,0,13.0
93,0,4.0,28.0,220.0,1.0,20.0
94,4.0,0,485.0,1459.0,1.0,0
95,0,16.0,74.0,79.0,2.0,9.0
96,0,8.0,70.0,40.0,4.0,3.0
97,0,3.0,79.0,63.0,1.0,4.0
98,2.0,0,14.0,82.0,11.0,0
99,97.0,57.0,29.0,362.0,97.0,64.0
100,0,4.0,79.0,63.0,0,2.0
101,9.0,0,78.0,29.0,2.0,1.0
102,2.0,0,195.0,707.0,3.0,5.0
