,o_basic,h_basic,o_neighbor,h_neighbor,household,relationship,education,marital,aim_o,aim_h
1,1.0,0,105.0,197.0,71.8,16246.0,83.8,56.05,1.0,0
2,64.0,210.0,27.0,23.0,54.0,17395.0,84.1,43.5,63.0,206.0
3,46.0,0,259.0,589.0,,,,7,13.0,0
4,35.0,0,34.0,120.0,72.6,9150.0,67.9,60.85,45.0,0
5,285.0,129.0,256.0,404.0,,,,7,117.0,97.0
6,1.0,0,128.0,183.0,65.9,16116.0,81.5,52.5,13.0,11.0
7,2.0,5.0,77.0,110.0,59.5,41958.0,90.3,48.8,6.0,1.0
8,8.0,0,14.0,149.0,72.6,9150.0,67.9,60.85,2.0,0
9,2.0,0,24.0,94.0,64.8,7551.0,79.3,57.3,17.0,0
10,69.0,0,15.0,59.0,65.5,12668.0,77.5,53.0,38.0,3.0
11,24.0,5.0,19.0,68.0,54.1,23299.0,77.6,46.8,9.0,9.0
12,24.0,15.0,124.0,224.0,71.8,16246.0,83.8,56.05,62.0,150.0
13,33.0,29.0,13.0,46.0,,,,7,19.0,9.0
14,11.0,3.0,234.0,76.0,54.0,17395.0,84.1,43.5,17.0,17.0
15,147.0,0,247.0,439.0,,,,7,140.0,14.0
16,20.0,1.0,70.0,56.0,59.5,41958.0,90.3,48.8,6.0,13.0
17,341.0,247.0,138.0,524.0,,,,7,268.0,133.0
18,37.0,6.0,33.0,350.0,72.6,9150.0,67.9,60.85,35.0,0
19,38.0,64.0,52.0,180.0,71.8,16246.0,83.8,56.05,60.0,223.0
20,36.0,11.0,164.0,104.0,69.1,16462.0,83.1,59.099999999999994,58.0,9.0
21,7.0,1.0,413.0,678.0,75.4,55034.0,89.3,60.7,0,1.0
22,27.0,0,29.0,694.0,72.9,23768.0,73.7,57.45,9.0,0
23,6.0,13.0,11.0,86.0,54.1,23299.0,77.6,46.8,2.0,9.0
24,12.0,24.0,219.0,135.0,54.1,23299.0,77.6,46.8,66.0,31.0
25,57.0,4.0,26.0,269.0,65.2,14905.0,76.3,56.05,148.0,4.0
26,54.0,65.0,36.0,66.0,69.1,16462.0,83.1,59.099999999999994,80.0,39.0
27,364.0,9.0,29.0,222.0,72.9,23768.0,73.7,57.45,276.0,24.0
28,48.0,0,0,17.0,69.2,27359.0,82.1,54.0,25.0,7.0
29,173.0,20.0,28.0,507.0,72.9,23768.0,73.7,57.45,219.0,69.0
30,3.0,0,39.0,65.0,66.0,7264.0,89.5,54.95,12.0,0
31,5.0,0,284.0,443.0,64.0,6346.0,74.7,39.75,20.0,5.0
32,35.0,7.0,87.0,82.0,71.8,16246.0,83.8,56.05,45.0,36.0
33,10.0,0,15.0,118.0,65.5,12668.0,77.5,53.0,5.0,0
34,14.0,3.0,98.0,162.0,71.8,16246.0,83.8,56.05,18.0,0
35,15.0,0,247.0,534.0,,,,7,43.0,4.0
36,19.0,8.0,406.0,712.0,,,,7,27.0,3.0
37,17.0,0,27.0,141.0,71.8,16246.0,83.8,56.05,7.0,4.0
38,64.0,11.0,87.0,146.0,71.8,16246.0,83.8,56.05,54.0,2.0
39,12.0,9.0,35.0,653.0,68.4,13463.0,78.3,58.7,4.0,0
40,37.0,0,129.0,285.0,61.8,92616.0,86.2,46.7,5.0,1.0
41,8.0,19.0,107.0,125.0,66.0,7264.0,89.5,54.95,7.0,4.0
42,10.0,0,35.0,794.0,66.3,75039.0,78.9,52.15,15.0,0
43,15.0,4.0,30.0,36.0,66.0,7264.0,89.5,54.95,45.0,27.0
44,4.0,4.0,20.0,92.0,72.6,9150.0,67.9,60.85,2.0,0
45,60.0,6.0,42.0,44.0,54.0,17395.0,84.1,43.5,34.0,8.0
46,5.0,4.0,132.0,212.0,71.8,16246.0,83.8,56.05,16.0,1.0
47,0,1.0,38.0,32.0,64.0,6346.0,74.7,39.75,0,1.0
48,11.0,0,21.0,148.0,64.0,6346.0,74.7,39.75,12.0,0
