,o_basic,h_basic,o_neighbor,h_neighbor,aim_o,aim_h
1,15.0,2.0,20.0,106.0,45.0,0
2,23.0,0,12.0,179.0,30.0,0
3,7.0,18.0,745.0,980.0,4.0,20.0
4,61.0,2.0,13.0,124.0,50.0,0
5,38.0,0,260.0,1003.0,30.0,5.0
6,144.0,0,5.0,756.0,475.0,1.0
7,70.0,229.0,1284.0,359.0,47.0,168.0
8,46.0,7.0,884.0,1347.0,20.0,7.0
9,162.0,75.0,47.0,182.0,145.0,95.0
10,38.0,26.0,597.0,704.0,32.0,45.0
11,10.0,10.0,707.0,351.0,11.0,13.0
12,82.0,1.0,46.0,782.0,17.0,0
13,6.0,0,46.0,106.0,11.0,1.0
14,53.0,87.0,1209.0,875.0,46.0,48.0
15,5.0,0,16.0,233.0,7.0,1.0
16,17.0,0,6.0,233.0,19.0,0
17,16.0,0,21.0,161.0,12.0,2.0
18,105.0,528.0,1014.0,397.0,154.0,500.0
19,31.0,74.0,448.0,491.0,46.0,54.0
20,74.0,24.0,123.0,384.0,95.0,51.0
21,28.0,0,70.0,408.0,36.0,0
22,45.0,2.0,4.0,224.0,85.0,7.0
23,78.0,50.0,797.0,1604.0,114.0,42.0
24,113.0,2.0,12.0,1380.0,76.0,2.0
25,11.0,0,6.0,82.0,29.0,0
26,12.0,0,7.0,183.0,11.0,0
27,7.0,1.0,24.0,121.0,14.0,0
28,48.0,8.0,8.0,34.0,54.0,15.0
29,14.0,0,13.0,220.0,4.0,0
30,4.0,0,151.0,663.0,33.0,1.0
31,4.0,4.0,243.0,939.0,60.0,3.0
32,432.0,466.0,438.0,1025.0,254.0,321.0
33,13.0,3.0,204.0,700.0,8.0,0
34,79.0,4.0,44.0,485.0,116.0,4.0
35,123.0,58.0,892.0,933.0,39.0,95.0
36,3.0,0,17.0,102.0,11.0,0
37,10.0,23.0,1661.0,816.0,9.0,24.0
38,10.0,1.0,767.0,1315.0,16.0,4.0
39,17.0,23.0,1668.0,850.0,41.0,56.0
40,38.0,1.0,17.0,107.0,43.0,8.0
41,23.0,1.0,3.0,47.0,33.0,1.0
42,12.0,3.0,24.0,142.0,1.0,1.0
43,74.0,17.0,108.0,305.0,56.0,7.0
44,44.0,26.0,1260.0,897.0,70.0,33.0
45,227.0,1.0,3.0,573.0,262.0,3.0
46,65.0,32.0,1432.0,1233.0,32.0,71.0
47,4.0,0,41.0,117.0,10.0,1.0
48,11.0,5.0,8.0,80.0,11.0,2.0
49,10.0,9.0,377.0,538.0,9.0,16.0
50,4.0,0,17.0,103.0,2.0,0
51,95.0,0,5.0,122.0,59.0,0
52,13.0,1.0,131.0,1230.0,42.0,1.0
53,760.0,1130.0,151.0,179.0,552.0,1358.0
54,85.0,72.0,871.0,1365.0,162.0,99.0
55,88.0,0,53.0,468.0,73.0,1.0
56,152.0,552.0,887.0,247.0,165.0,530.0
57,63.0,0,11.0,850.0,26.0,0
58,142.0,1.0,7.0,875.0,140.0,0
59,234.0,1.0,22.0,1001.0,254.0,4.0
60,30.0,6.0,120.0,518.0,9.0,7.0
61,45.0,4.0,247.0,1450.0,22.0,0
62,40.0,0,6.0,959.0,26.0,0
63,42.0,1.0,45.0,632.0,43.0,0
64,35.0,3.0,66.0,269.0,32.0,2.0
65,24.0,2.0,230.0,869.0,21.0,5.0
66,12.0,0,21.0,192.0,6.0,2.0
67,18.0,0,12.0,194.0,30.0,0
68,19.0,1.0,3.0,182.0,24.0,0
69,60.0,16.0,2.0,85.0,76.0,11.0
70,72.0,2.0,13.0,654.0,83.0,0
71,1.0,0,15.0,257.0,2.0,0
72,307.0,116.0,691.0,1273.0,256.0,137.0
73,80.0,0,37.0,629.0,14.0,1.0
74,14.0,3.0,156.0,235.0,17.0,15.0
75,10.0,1.0,20.0,179.0,9.0,10.0
76,31.0,4.0,49.0,525.0,11.0,0
77,28.0,61.0,656.0,333.0,60.0,18.0
78,17.0,16.0,26.0,50.0,22.0,4.0
79,8.0,0,109.0,730.0,1.0,0
80,11.0,8.0,721.0,1014.0,23.0,40.0
81,2.0,0,24.0,189.0,4.0,0
82,201.0,39.0,219.0,886.0,192.0,51.0
83,5.0,0,60.0,454.0,6.0,0
84,88.0,2.0,5.0,124.0,65.0,3.0
85,30.0,10.0,1306.0,914.0,46.0,21.0
86,68.0,1.0,754.0,1061.0,17.0,5.0
87,22.0,3.0,21.0,242.0,10.0,1.0
88,27.0,17.0,1378.0,938.0,23.0,15.0
89,19.0,9.0,1683.0,823.0,11.0,13.0
90,4.0,0,229.0,1427.0,3.0,0
91,25.0,75.0,1574.0,884.0,3.0,47.0
92,171.0,0,19.0,780.0,154.0,1.0
93,181.0,39.0,9.0,240.0,180.0,7.0
94,116.0,11.0,246.0,1059.0,126.0,6.0
95,103.0,6.0,11.0,700.0,100.0,9.0
96,1.0,0,1774.0,1183.0,0,2.0
97,53.0,0,169.0,1192.0,116.0,23.0
98,66.0,22.0,88.0,633.0,137.0,27.0
99,19.0,0,25.0,104.0,5.0,2.0
100,170.0,41.0,1071.0,1292.0,80.0,47.0
101,8.0,23.0,468.0,636.0,12.0,50.0
102,29.0,0,12.0,211.0,17.0,2.0
103,4.0,3.0,1469.0,1184.0,0,9.0
104,18.0,16.0,45.0,167.0,19.0,21.0
105,4.0,0,7.0,268.0,2.0,0
106,5.0,2.0,4.0,214.0,8.0,0
107,21.0,8.0,1343.0,988.0,18.0,2.0
108,4.0,0,5.0,150.0,7.0,0
109,68.0,10.0,5.0,172.0,29.0,6.0
110,2.0,0,377.0,627.0,1.0,0
111,11.0,3.0,9.0,240.0,43.0,4.0
112,15.0,0,8.0,216.0,12.0,1.0
113,278.0,3.0,13.0,730.0,150.0,3.0
114,10.0,0,82.0,900.0,4.0,1.0
115,16.0,8.0,863.0,1032.0,20.0,10.0
