,o_basic,h_basic,o_neighbor,h_neighbor,household,relationship,education,marital,aim_o,aim_h
1,51.0,61.0,157.0,100.0,69.1,42912.0,82.2,52.45,71.0,93.0
2,76.0,112.0,495.0,418.0,70.7,110881.0,85.9,56.1,84.0,106.0
3,78.0,182.0,249.0,183.0,64.5,204767.0,87.7,48.8,133.0,258.0
4,129.0,108.0,140.0,190.0,70.8,13269.0,80.4,55.05,144.0,138.0
5,22.0,27.0,831.0,348.0,72.4,48724.0,88.2,56.6,13.0,23.0
6,56.0,73.0,381.0,232.0,69.1,42912.0,82.2,52.45,42.0,70.0
7,299.0,684.0,6234.0,1282.0,76.3,209557.0,92.0,61.1,300.0,755.0
8,12.0,3.0,818.0,456.0,68.8,15512.0,85.7,57.3,10.0,4.0
9,137.0,236.0,3944.0,846.0,76.3,209557.0,92.0,61.1,114.0,338.0
10,30.0,60.0,3270.0,985.0,76.3,209557.0,92.0,61.1,67.0,101.0
11,65.0,141.0,478.0,283.0,68.8,15512.0,85.7,57.3,126.0,194.0
12,44.0,85.0,798.0,422.0,66.1,22213.0,89.6,55.95,126.0,112.0
13,734.0,2277.0,1450.0,705.0,70.7,110881.0,85.9,56.1,826.0,2703.0
14,59.0,44.0,226.0,175.0,68.0,36430.0,89.3,55.25,60.0,132.0
15,63.0,167.0,2181.0,1604.0,73.5,49461.0,92.2,57.15,123.0,170.0
16,135.0,167.0,150.0,109.0,68.8,291941.0,88.8,50.8,112.0,292.0
17,128.0,168.0,486.0,307.0,72.4,48724.0,88.2,56.6,128.0,182.0
18,74.0,55.0,175.0,180.0,68.8,15512.0,85.7,57.3,142.0,81.0
19,19.0,57.0,551.0,334.0,73.5,49461.0,92.2,57.15,30.0,55.0
20,14.0,33.0,183.0,304.0,69.4,91339.0,86.7,56.0,11.0,25.0
21,16.0,62.0,2874.0,642.0,72.4,48724.0,88.2,56.6,29.0,109.0
22,183.0,264.0,1917.0,1486.0,67.8,71626.0,84.1,49.2,163.0,148.0
23,20.0,38.0,457.0,205.0,73.5,49461.0,92.2,57.15,20.0,29.0
24,9.0,44.0,1572.0,1236.0,74.2,51589.0,84.9,53.1,49.0,105.0
25,1028.0,1190.0,1078.0,644.0,73.5,49461.0,92.2,57.15,1245.0,1525.0
26,64.0,57.0,499.0,577.0,70.8,13269.0,80.4,55.05,67.0,120.0
27,12.0,52.0,1852.0,889.0,64.5,204767.0,87.7,48.8,44.0,72.0
28,101.0,175.0,2997.0,803.0,76.3,209557.0,92.0,61.1,124.0,235.0
29,104.0,42.0,155.0,181.0,68.8,15512.0,85.7,57.3,186.0,80.0
30,571.0,3458.0,1234.0,598.0,76.3,209557.0,92.0,61.1,698.0,3686.0
31,92.0,86.0,1154.0,828.0,66.1,22213.0,89.6,55.95,124.0,136.0
32,106.0,86.0,535.0,322.0,66.1,22213.0,89.6,55.95,30.0,77.0
33,31.0,4.0,329.0,261.0,70.7,110881.0,85.9,56.1,5.0,6.0
34,86.0,119.0,414.0,284.0,68.8,58909.0,88.6,53.25,107.0,132.0
35,145.0,74.0,502.0,420.0,70.8,13269.0,80.4,55.05,169.0,34.0
36,28.0,85.0,210.0,182.0,68.8,15512.0,85.7,57.3,34.0,98.0
37,38.0,49.0,642.0,446.0,64.3,116247.0,86.2,48.4,13.0,24.0
38,223.0,811.0,2797.0,1081.0,64.5,204767.0,87.7,48.8,210.0,721.0
39,88.0,196.0,2036.0,1543.0,74.2,51589.0,84.9,53.1,139.0,111.0
40,8.0,73.0,779.0,427.0,66.1,22213.0,89.6,55.95,18.0,79.0
41,19.0,25.0,52.0,78.0,68.0,36430.0,89.3,55.25,9.0,27.0
42,44.0,84.0,699.0,419.0,76.3,209557.0,92.0,61.1,84.0,115.0
43,23.0,31.0,402.0,363.0,70.7,110881.0,85.9,56.1,34.0,42.0
44,32.0,25.0,652.0,720.0,70.8,13269.0,80.4,55.05,36.0,15.0
45,260.0,462.0,254.0,291.0,63.8,120041.0,93.1,49.400000000000006,203.0,303.0
46,229.0,388.0,647.0,392.0,64.5,204767.0,87.7,48.8,290.0,508.0
47,99.0,178.0,681.0,359.0,66.1,22213.0,89.6,55.95,72.0,214.0
48,13.0,104.0,2832.0,645.0,72.4,48724.0,88.2,56.6,24.0,67.0
49,7.0,1.0,708.0,534.0,63.8,120041.0,93.1,49.400000000000006,0,9.0
50,105.0,29.0,305.0,198.0,65.1,75456.0,81.3,49.0,137.0,26.0
51,28.0,35.0,281.0,290.0,65.6,59874.0,88.8,54.3,10.0,12.0
52,53.0,76.0,1775.0,1269.0,73.5,49461.0,92.2,57.15,99.0,150.0
53,123.0,134.0,2757.0,1108.0,70.7,110881.0,85.9,56.1,98.0,183.0
54,17.0,9.0,233.0,179.0,68.8,15512.0,85.7,57.3,33.0,32.0
55,549.0,2462.0,1510.0,661.0,76.3,209557.0,92.0,61.1,757.0,2300.0
56,2.0,0,346.0,430.0,65.6,59874.0,88.8,54.3,2.0,0
57,21.0,23.0,2029.0,1448.0,64.3,116247.0,86.2,48.4,39.0,37.0
58,46.0,27.0,201.0,246.0,69.4,91339.0,86.7,56.0,68.0,73.0
59,59.0,26.0,767.0,513.0,63.8,120041.0,93.1,49.400000000000006,23.0,27.0
60,25.0,14.0,799.0,680.0,70.8,13269.0,80.4,55.05,41.0,21.0
61,28.0,42.0,452.0,441.0,70.8,13269.0,80.4,55.05,21.0,41.0
62,102.0,185.0,3205.0,1340.0,64.5,204767.0,87.7,48.8,134.0,233.0
63,40.0,111.0,3118.0,744.0,72.4,48724.0,88.2,56.6,85.0,118.0
64,3.0,4.0,358.0,446.0,68.8,15512.0,85.7,57.3,4.0,15.0
65,3.0,3.0,98.0,94.0,68.0,36430.0,89.3,55.25,10.0,4.0
66,86.0,151.0,1900.0,1523.0,70.8,13269.0,80.4,55.05,93.0,150.0
67,73.0,137.0,537.0,347.0,70.7,110881.0,85.9,56.1,88.0,206.0
68,126.0,125.0,1765.0,1563.0,70.8,13269.0,80.4,55.05,151.0,142.0
69,134.0,248.0,202.0,342.0,69.9,28105.0,77.6,49.7,154.0,158.0
70,17.0,45.0,6984.0,1604.0,76.3,209557.0,92.0,61.1,9.0,22.0
71,29.0,50.0,961.0,679.0,66.1,22213.0,89.6,55.95,62.0,60.0
72,30.0,78.0,616.0,537.0,66.1,22213.0,89.6,55.95,52.0,110.0
73,18.0,170.0,570.0,236.0,0.0,0.0,0.0,0.0,17.0,125.0
74,18.0,17.0,996.0,660.0,69.4,91339.0,86.7,56.0,266.0,398.0
75,152.0,219.0,3577.0,1317.0,70.7,110881.0,85.9,56.1,193.0,251.0
76,183.0,249.0,1618.0,644.0,66.1,156454.0,91.0,47.05,214.0,340.0
77,28.0,34.0,224.0,318.0,70.7,110881.0,85.9,56.1,40.0,25.0
78,15.0,32.0,1950.0,1440.0,70.0,37837.0,85.7,50.349999999999994,24.0,14.0
79,9.0,25.0,217.0,80.0,72.4,48724.0,88.2,56.6,26.0,40.0
80,36.0,5.0,596.0,635.0,67.8,71626.0,84.1,49.2,22.0,3.0
81,145.0,269.0,7204.0,1748.0,71.7,41630.0,87.8,56.7,138.0,227.0
82,63.0,91.0,48.0,50.0,70.4,12056.0,80.1,49.7,59.0,68.0
83,105.0,101.0,2948.0,1240.0,69.4,91339.0,86.7,56.0,85.0,138.0
84,102.0,91.0,717.0,485.0,66.1,22213.0,89.6,55.95,92.0,133.0
85,6.0,14.0,727.0,510.0,63.8,120041.0,93.1,49.400000000000006,31.0,42.0
86,7.0,4.0,72.0,81.0,70.3,19332.0,88.6,58.85,1.0,4.0
87,14.0,2.0,339.0,303.0,70.4,12056.0,80.1,49.7,4.0,3.0
