,o_basic,h_basic,o_neighbor,h_neighbor,household,relationship,education,marital,aim_o,aim_h
1,1.0,2.0,1.0,3.0,58.0,11971.0,78.1,46.3,9.0,38.0
2,18.0,2.0,71.0,162.0,0.0,0.0,0.0,0.0,25.0,17.0
3,14.0,5.0,49.0,135.0,62.8,23029.0,88.9,47.0,50.0,14.0
4,30.0,1.0,337.0,449.0,0.0,0.0,0.0,0.0,6.0,0
5,68.0,3.0,68.0,256.0,0.0,0.0,0.0,0.0,32.0,3.0
6,6.0,1.0,55.0,301.0,0.0,0.0,0.0,0.0,15.0,2.0
7,82.0,54.0,715.0,945.0,0.0,0.0,0.0,0.0,63.0,73.0
8,13.0,4.0,53.0,140.0,0.0,0.0,0.0,0.0,72.0,15.0
9,4.0,0,19.0,65.0,0.0,0.0,0.0,0.0,3.0,2.0
10,109.0,13.0,358.0,449.0,62.8,23029.0,88.9,47.0,112.0,14.0
11,12.0,0,17.0,767.0,0.0,0.0,0.0,0.0,5.0,1.0
12,40.0,11.0,396.0,656.0,62.8,23029.0,88.9,47.0,72.0,24.0
13,26.0,4.0,74.0,220.0,0.0,0.0,0.0,0.0,11.0,7.0
14,128.0,1.0,7.0,543.0,69.6,43386.0,77.0,55.95,117.0,0
15,16.0,2.0,30.0,161.0,0.0,0.0,0.0,0.0,8.0,5.0
16,33.0,8.0,51.0,233.0,0.0,0.0,0.0,0.0,37.0,18.0
17,28.0,7.0,636.0,750.0,0.0,0.0,0.0,0.0,27.0,21.0
18,55.0,0,6.0,246.0,43.7,13760.0,86.7,24.85,49.0,3.0
19,4.0,0,1068.0,789.0,0.0,0.0,0.0,0.0,2.0,0
20,58.0,5.0,17.0,260.0,0.0,0.0,0.0,0.0,11.0,0
21,216.0,225.0,468.0,531.0,0.0,0.0,0.0,0.0,291.0,310.0
22,11.0,9.0,1057.0,1229.0,0.0,0.0,0.0,0.0,18.0,15.0
23,3.0,2.0,413.0,915.0,62.8,23029.0,88.9,47.0,6.0,1.0
24,59.0,81.0,1087.0,1293.0,0.0,0.0,0.0,0.0,63.0,94.0
25,15.0,1.0,267.0,402.0,0.0,0.0,0.0,0.0,9.0,3.0
