,o_basic,h_basic,o_neighbor,h_neighbor,aim_o,aim_h
1,21.0,29.0,1127.0,349.0,38.0,54.0
2,865.0,3774.0,1789.0,540.0,1084.0,3674.0
3,26.0,151.0,4588.0,1064.0,28.0,113.0
4,16.0,14.0,700.0,192.0,13.0,22.0
5,126.0,392.0,7577.0,3262.0,87.0,424.0
6,570.0,1640.0,5160.0,2595.0,192.0,542.0
7,32.0,158.0,4838.0,1223.0,29.0,155.0
8,91.0,356.0,372.0,138.0,90.0,367.0
9,23.0,72.0,3546.0,986.0,22.0,74.0
10,179.0,289.0,6292.0,2939.0,211.0,324.0
11,20.0,19.0,4171.0,947.0,12.0,13.0
12,19.0,18.0,472.0,150.0,26.0,31.0
13,21.0,102.0,1292.0,334.0,18.0,51.0
14,36.0,24.0,339.0,158.0,51.0,67.0
15,103.0,709.0,1684.0,650.0,161.0,705.0
16,688.0,765.0,5816.0,2430.0,777.0,929.0
17,92.0,230.0,24.0,36.0,69.0,205.0
18,53.0,128.0,4432.0,1049.0,52.0,171.0
19,19.0,41.0,381.0,132.0,54.0,50.0
20,24.0,45.0,25.0,20.0,29.0,26.0
21,89.0,310.0,443.0,138.0,111.0,209.0
22,35.0,53.0,217.0,43.0,17.0,54.0
23,18.0,35.0,2100.0,599.0,13.0,39.0
24,14.0,13.0,48.0,69.0,16.0,13.0
25,130.0,230.0,4463.0,1010.0,123.0,218.0
26,51.0,110.0,70.0,14.0,53.0,109.0
27,0,2.0,124.0,67.0,2.0,2.0
28,31.0,21.0,953.0,205.0,22.0,23.0
29,12.0,32.0,404.0,155.0,17.0,47.0
30,4.0,48.0,4729.0,1164.0,21.0,72.0
31,14.0,30.0,393.0,124.0,4.0,15.0
32,37.0,343.0,1117.0,225.0,58.0,363.0
33,87.0,372.0,1729.0,508.0,103.0,512.0
34,122.0,236.0,1326.0,322.0,100.0,354.0
35,31.0,175.0,7794.0,3357.0,43.0,142.0
36,70.0,102.0,4169.0,1016.0,25.0,74.0
37,13.0,26.0,855.0,303.0,4.0,3.0
38,170.0,978.0,1298.0,352.0,131.0,621.0
39,43.0,213.0,160.0,91.0,22.0,191.0
40,36.0,0,37.0,24.0,31.0,16.0
41,0,6.0,67.0,80.0,2.0,0
42,46.0,75.0,284.0,138.0,38.0,85.0
43,53.0,191.0,855.0,220.0,71.0,234.0
44,12.0,23.0,6968.0,3206.0,32.0,28.0
45,14.0,7.0,1334.0,323.0,1.0,4.0
46,24.0,147.0,2539.0,819.0,29.0,103.0
47,36.0,93.0,1244.0,301.0,22.0,54.0
48,1512.0,3297.0,3284.0,1606.0,1715.0,4985.0
49,4.0,46.0,382.0,85.0,4.0,37.0
50,12.0,21.0,175.0,67.0,18.0,17.0
51,5.0,14.0,45.0,24.0,10.0,35.0
52,14.0,68.0,165.0,85.0,14.0,29.0
53,114.0,210.0,2125.0,466.0,165.0,386.0
54,18.0,86.0,230.0,130.0,24.0,56.0
55,6.0,3.0,1101.0,242.0,4.0,7.0
56,20.0,34.0,454.0,184.0,21.0,59.0
57,10.0,18.0,6.0,36.0,9.0,5.0
58,82.0,398.0,3923.0,949.0,108.0,382.0
59,9.0,8.0,907.0,190.0,5.0,6.0
60,123.0,555.0,4382.0,1088.0,106.0,421.0
61,244.0,720.0,1171.0,242.0,281.0,849.0
62,26.0,37.0,445.0,66.0,14.0,33.0
63,8.0,44.0,484.0,88.0,5.0,29.0
64,21.0,58.0,424.0,71.0,13.0,27.0
65,6.0,6.0,0,0,16.0,19.0
