,o_basic,h_basic,o_neighbor,h_neighbor,aim_o,aim_h
1,19.0,76.0,57.0,19.0,27.0,102.0
2,7.0,1.0,373.0,518.0,6.0,5.0
3,19.0,2.0,157.0,202.0,2.0,0
4,40.0,159.0,322.0,226.0,60.0,52.0
5,5.0,0,236.0,233.0,3.0,3.0
6,9.0,0,37.0,258.0,4.0,0
7,28.0,7.0,39.0,25.0,5.0,18.0
8,77.0,36.0,0,40.0,133.0,30.0
9,9.0,28.0,18.0,40.0,8.0,41.0
10,79.0,130.0,137.0,222.0,60.0,138.0
11,28.0,12.0,126.0,68.0,25.0,32.0
12,5.0,22.0,111.0,33.0,2.0,9.0
13,132.0,22.0,284.0,205.0,66.0,22.0
14,5.0,36.0,35.0,83.0,4.0,7.0
15,174.0,280.0,221.0,203.0,80.0,152.0
16,23.0,0,287.0,553.0,4.0,0
17,36.0,48.0,256.0,259.0,64.0,64.0
18,47.0,68.0,112.0,133.0,30.0,4.0
19,0,1.0,485.0,255.0,1.0,36.0
20,11.0,0,273.0,514.0,33.0,0
21,5.0,3.0,43.0,48.0,4.0,6.0
22,14.0,35.0,106.0,31.0,0,14.0
23,186.0,34.0,219.0,277.0,117.0,44.0
24,83.0,35.0,121.0,65.0,25.0,24.0
25,142.0,34.0,217.0,253.0,295.0,38.0
26,11.0,0,0,20.0,18.0,0
27,234.0,217.0,68.0,370.0,149.0,74.0
28,4.0,1.0,326.0,399.0,3.0,0
29,42.0,31.0,197.0,186.0,10.0,0
30,4.0,3.0,303.0,316.0,3.0,1.0
31,13.0,34.0,453.0,252.0,3.0,1.0
32,19.0,8.0,199.0,250.0,8.0,0
33,2.0,0,287.0,491.0,8.0,0
34,1.0,12.0,234.0,210.0,1.0,0
35,36.0,7.0,159.0,40.0,13.0,16.0
36,13.0,17.0,264.0,281.0,10.0,18.0
37,51.0,90.0,12.0,33.0,63.0,125.0
38,7.0,8.0,73.0,56.0,16.0,32.0
39,63.0,19.0,248.0,218.0,46.0,8.0
40,2.0,0,119.0,66.0,4.0,0
41,24.0,0,10.0,72.0,9.0,0
