,o_basic,h_basic,o_neighbor,h_neighbor,household,relationship,education,marital,aim_o,aim_h
1,15.0,1.0,17.0,112.0,65.5,23887.0,82.5,45.7,20.0,0
2,12.0,0,11.0,111.0,65.0,112341.0,87.3,47.25,23.0,1.0
3,5.0,12.0,765.0,567.0,69.3,25029.0,89.1,56.900000000000006,6.0,16.0
4,0,1.0,2.0,94.0,61.9,64131.0,87.9,49.15,1.0,0
5,40.0,7.0,3.0,67.0,65.0,112341.0,87.3,47.25,36.0,1.0
6,70.0,4.0,293.0,775.0,61.8,7136.0,67.4,49.75,11.0,7.0
7,326.0,3.0,11.0,573.0,69.2,10753.0,65.1,49.55,207.0,6.0
8,134.0,227.0,999.0,456.0,70.2,14281.0,83.9,55.55,105.0,164.0
9,12.0,4.0,788.0,863.0,73.7,48878.0,89.1,55.7,16.0,9.0
10,152.0,51.0,38.0,151.0,72.9,15709.0,77.4,57.25,69.0,54.0
11,20.0,33.0,576.0,621.0,69.3,25029.0,89.1,56.900000000000006,58.0,58.0
12,4.0,12.0,619.0,337.0,66.3,2147.0,74.6,53.099999999999994,9.0,15.0
13,30.0,0,34.0,557.0,61.8,7136.0,67.4,49.75,20.0,3.0
14,1.0,0,47.0,91.0,73.4,23757.0,78.3,57.2,3.0,1.0
15,36.0,52.0,1365.0,480.0,70.5,11495.0,80.2,52.650000000000006,27.0,36.0
16,11.0,1.0,15.0,170.0,65.0,112341.0,87.3,47.25,18.0,1.0
17,16.0,0,10.0,164.0,70.8,13019.0,78.6,56.5,12.0,0
18,18.0,0,6.0,153.0,69.6,14144.0,82.7,56.650000000000006,31.0,5.0
19,170.0,464.0,864.0,473.0,66.3,2147.0,74.6,53.099999999999994,209.0,383.0
20,30.0,26.0,493.0,331.0,69.3,25029.0,89.1,56.900000000000006,21.0,17.0
21,70.0,13.0,117.0,419.0,60.5,20867.0,82.0,41.75,43.0,44.0
22,33.0,0,145.0,587.0,65.7,20347.0,71.1,48.7,19.0,2.0
23,35.0,2.0,3.0,140.0,70.8,13019.0,78.6,56.5,43.0,2.0
24,74.0,35.0,824.0,971.0,73.7,48878.0,89.1,55.7,89.0,30.0
25,66.0,0,15.0,1171.0,73.0,34113.0,75.8,48.5,61.0,1.0
26,22.0,0,10.0,101.0,65.7,20347.0,71.1,48.7,21.0,0
27,5.0,0,23.0,127.0,70.8,13019.0,78.6,56.5,9.0,0
28,7.0,3.0,18.0,153.0,65.7,20347.0,71.1,48.7,24.0,7.0
29,45.0,11.0,15.0,35.0,73.4,23757.0,78.3,57.2,40.0,10.0
30,10.0,0,23.0,148.0,65.0,112341.0,87.3,47.25,11.0,0
31,7.0,3.0,133.0,724.0,61.8,7136.0,67.4,49.75,7.0,0
32,11.0,0,289.0,850.0,61.8,7136.0,67.4,49.75,37.0,16.0
33,293.0,433.0,526.0,541.0,69.3,25029.0,89.1,56.900000000000006,258.0,351.0
34,34.0,3.0,149.0,587.0,60.5,20867.0,82.0,41.75,13.0,7.0
35,172.0,2.0,21.0,420.0,68.5,62292.0,73.5,54.65,173.0,0
36,56.0,62.0,853.0,544.0,69.3,25029.0,89.1,56.900000000000006,71.0,97.0
37,8.0,0,2.0,94.0,61.9,64131.0,87.9,49.15,6.0,1.0
38,7.0,5.0,1474.0,727.0,68.5,8728.0,84.1,60.3,1.0,3.0
39,5.0,2.0,804.0,954.0,69.3,25029.0,89.1,56.900000000000006,9.0,13.0
40,37.0,50.0,1450.0,707.0,69.3,25029.0,89.1,56.900000000000006,53.0,45.0
