,o_basic,h_basic,o_neighbor,h_neighbor,aim_o,aim_h
1,73.0,111.0,178.0,169.0,66.0,41.0
2,149.0,184.0,510.0,718.0,192.0,122.0
3,251.0,245.0,327.0,386.0,319.0,126.0
4,147.0,89.0,234.0,305.0,120.0,96.0
5,43.0,18.0,509.0,629.0,53.0,9.0
6,85.0,73.0,490.0,425.0,71.0,37.0
7,529.0,538.0,6249.0,5201.0,894.0,381.0
8,6.0,6.0,1462.0,1695.0,17.0,2.0
9,268.0,274.0,4947.0,3842.0,381.0,232.0
10,125.0,70.0,2286.0,2558.0,184.0,57.0
11,254.0,238.0,566.0,536.0,252.0,98.0
12,184.0,77.0,937.0,1047.0,108.0,25.0
13,2675.0,2735.0,1606.0,2408.0,4853.0,2528.0
14,97.0,123.0,177.0,188.0,100.0,56.0
15,125.0,158.0,2666.0,2298.0,145.0,78.0
16,310.0,199.0,558.0,801.0,269.0,152.0
17,123.0,117.0,498.0,603.0,109.0,56.0
18,96.0,80.0,257.0,262.0,139.0,71.0
19,50.0,64.0,710.0,837.0,101.0,16.0
20,26.0,12.0,798.0,1031.0,12.0,54.0
21,49.0,32.0,1687.0,1955.0,94.0,16.0
22,205.0,195.0,2237.0,1828.0,187.0,131.0
23,215.0,173.0,518.0,599.0,483.0,84.0
24,83.0,76.0,2149.0,1752.0,131.0,52.0
25,1238.0,1688.0,902.0,891.0,1716.0,1300.0
26,101.0,137.0,494.0,808.0,165.0,132.0
27,59.0,56.0,2149.0,2898.0,61.0,17.0
28,272.0,153.0,2045.0,2391.0,375.0,71.0
29,148.0,126.0,187.0,292.0,181.0,59.0
30,3300.0,4525.0,1032.0,1095.0,6025.0,3970.0
31,225.0,133.0,1211.0,1281.0,237.0,91.0
32,30.0,65.0,549.0,683.0,32.0,52.0
33,4.0,3.0,382.0,428.0,9.0,3.0
34,167.0,91.0,593.0,814.0,137.0,76.0
35,235.0,111.0,548.0,623.0,153.0,64.0
36,39.0,102.0,336.0,396.0,23.0,64.0
37,14.0,42.0,584.0,658.0,29.0,28.0
38,1253.0,942.0,3384.0,3625.0,1559.0,568.0
39,131.0,136.0,2381.0,1927.0,219.0,113.0
40,68.0,66.0,757.0,905.0,115.0,29.0
41,20.0,11.0,154.0,116.0,20.0,26.0
42,84.0,105.0,702.0,799.0,82.0,23.0
43,634.0,467.0,437.0,680.0,719.0,353.0
44,60.0,33.0,614.0,947.0,62.0,24.0
45,441.0,430.0,423.0,576.0,426.0,372.0
46,474.0,454.0,1291.0,1616.0,492.0,211.0
47,208.0,208.0,673.0,864.0,172.0,91.0
48,23.0,19.0,1700.0,1981.0,39.0,13.0
49,5.0,4.0,800.0,918.0,2.0,0
50,122.0,66.0,339.0,339.0,189.0,46.0
51,20.0,20.0,364.0,395.0,6.0,6.0
52,84.0,116.0,2331.0,1890.0,55.0,31.0
53,201.0,129.0,4265.0,4763.0,252.0,91.0
54,23.0,8.0,285.0,238.0,42.0,6.0
55,1603.0,1504.0,1092.0,1446.0,2909.0,651.0
56,1.0,6.0,444.0,611.0,11.0,3.0
57,29.0,25.0,2561.0,2147.0,37.0,26.0
58,73.0,45.0,286.0,396.0,98.0,55.0
59,40.0,50.0,878.0,1064.0,44.0,21.0
60,68.0,27.0,667.0,829.0,35.0,11.0
61,26.0,55.0,434.0,671.0,42.0,17.0
62,280.0,160.0,4348.0,4736.0,242.0,79.0
63,150.0,60.0,1924.0,2244.0,287.0,47.0
64,9.0,5.0,461.0,594.0,11.0,5.0
65,5.0,9.0,163.0,148.0,11.0,3.0
66,40.0,38.0,2332.0,1939.0,48.0,52.0
67,177.0,178.0,595.0,670.0,170.0,123.0
68,152.0,115.0,2153.0,1918.0,190.0,67.0
69,238.0,202.0,369.0,484.0,211.0,119.0
70,50.0,46.0,6801.0,5830.0,81.0,26.0
71,4.0,7.0,979.0,1072.0,3.0,0
72,171.0,133.0,978.0,1316.0,114.0,50.0
73,96.0,86.0,777.0,1021.0,87.0,35.0
74,136.0,86.0,330.0,482.0,156.0,36.0
75,631.0,504.0,1062.0,1562.0,899.0,256.0
76,505.0,266.0,4635.0,5268.0,903.0,272.0
77,386.0,327.0,1857.0,2317.0,608.0,237.0
78,70.0,35.0,799.0,1051.0,87.0,29.0
79,42.0,43.0,2615.0,2202.0,43.0,46.0
80,26.0,18.0,218.0,238.0,52.0,16.0
81,46.0,6.0,605.0,829.0,6.0,5.0
82,248.0,174.0,7215.0,6231.0,337.0,91.0
83,86.0,99.0,39.0,53.0,105.0,73.0
84,169.0,109.0,3997.0,4415.0,190.0,81.0
85,131.0,96.0,858.0,1014.0,104.0,43.0
86,32.0,15.0,864.0,1113.0,55.0,11.0
87,5.0,11.0,143.0,122.0,1.0,0
88,17.0,4.0,565.0,575.0,8.0,9.0
